Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-26 13:52:46.526,11069.0,270.0,7,100.0,False,8,car,0 days 00:00:00.207000,0 days 01:44:41.137000
2024-05-26 13:52:46.686,11215.0,267.0,7,14.0,False,0,car,0 days 00:00:00.367000,0 days 01:44:41.297000
2024-05-26 13:52:46.846,10541.0,267.0,7,0.0,False,0,car,0 days 00:00:00.527000,0 days 01:44:41.457000
2024-05-26 13:52:47.046,10422.0,260.0,7,0.0,False,0,car,0 days 00:00:00.727000,0 days 01:44:41.657000
2024-05-26 13:52:47.366,9948.0,246.0,7,0.0,True,0,car,0 days 00:00:01.047000,0 days 01:44:41.977000
2024-05-26 13:52:47.767,8529.0,211.0,7,0.0,True,0,car,0 days 00:00:01.448000,0 days 01:44:42.378000
2024-05-26 13:52:48.207,9331.0,173.0,7,0.0,True,0,car,0 days 00:00:01.888000,0 days 01:44:42.818000
2024-05-26 13:52:48.407,9033.0,166.0,5,0.0,True,0,car,0 days 00:00:02.088000,0 days 01:44:43.018000
2024-05-26 13:52:48.647,9125.0,147.0,4,0.0,True,0,car,0 days 00:00:02.328000,0 days 01:44:43.258000
2024-05-26 13:52:48.887,8457.0,131.0,4,0.0,True,0,car,0 days 00:00:02.568000,0 days 01:44:43.498000
2024-05-26 13:52:49.246,8462.0,117.0,3,0.0,True,0,car,0 days 00:00:02.927000,0 days 01:44:43.857000
2024-05-26 13:52:49.526,7627.0,109.0,3,0.0,True,0,car,0 days 00:00:03.207000,0 days 01:44:44.137000
2024-05-26 13:52:49.766,7561.0,105.0,3,0.0,True,0,car,0 days 00:00:03.447000,0 days 01:44:44.377000
2024-05-26 13:52:50.246,7154.0,99.0,3,1.0,False,0,car,0 days 00:00:03.927000,0 days 01:44:44.857000
2024-05-26 13:52:50.566,7268.0,99.0,3,10.0,False,0,car,0 days 00:00:04.247000,0 days 01:44:45.177000
2024-05-26 13:52:50.886,7297.0,100.0,3,22.0,False,0,car,0 days 00:00:04.567000,0 days 01:44:45.497000
