Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-26 15:14:06.422,11074.0,270.0,7,100.0,False,0,car,0 days 00:00:00.094000,0 days 03:06:01.033000
2024-05-26 15:14:06.622,11213.0,272.0,7,100.0,False,0,car,0 days 00:00:00.294000,0 days 03:06:01.233000
2024-05-26 15:14:06.862,11294.0,274.0,7,100.0,False,0,car,0 days 00:00:00.534000,0 days 03:06:01.473000
2024-05-26 15:14:07.182,10893.0,275.0,7,16.0,True,0,car,0 days 00:00:00.854000,0 days 03:06:01.793000
2024-05-26 15:14:07.382,10557.0,266.0,7,0.0,True,0,car,0 days 00:00:01.054000,0 days 03:06:01.993000
2024-05-26 15:14:07.582,10106.0,262.0,7,0.0,True,0,car,0 days 00:00:01.254000,0 days 03:06:02.193000
2024-05-26 15:14:07.782,9443.0,243.0,7,0.0,True,0,car,0 days 00:00:01.454000,0 days 03:06:02.393000
2024-05-26 15:14:08.222,8123.0,194.0,7,0.0,True,0,car,0 days 00:00:01.894000,0 days 03:06:02.833000
2024-05-26 15:14:08.463,8380.0,175.0,7,0.0,True,0,car,0 days 00:00:02.135000,0 days 03:06:03.074000
2024-05-26 15:14:08.823,8821.0,144.0,5,0.0,True,0,car,0 days 00:00:02.495000,0 days 03:06:03.434000
2024-05-26 15:14:09.103,7863.0,127.0,4,0.0,True,0,car,0 days 00:00:02.775000,0 days 03:06:03.714000
2024-05-26 15:14:09.383,7293.0,120.0,4,0.0,True,0,car,0 days 00:00:03.055000,0 days 03:06:03.994000
2024-05-26 15:14:09.583,7030.0,120.0,4,0.0,False,0,car,0 days 00:00:03.255000,0 days 03:06:04.194000
2024-05-26 15:14:09.903,7019.0,112.0,4,0.0,False,0,car,0 days 00:00:03.575000,0 days 03:06:04.514000
2024-05-26 15:14:10.143,7221.0,112.0,4,20.0,False,0,car,0 days 00:00:03.815000,0 days 03:06:04.754000
2024-05-26 15:14:10.383,7101.0,112.0,4,37.0,False,0,car,0 days 00:00:04.055000,0 days 03:06:04.994000
2024-05-26 15:14:10.743,8014.0,121.0,4,67.0,False,0,car,0 days 00:00:04.415000,0 days 03:06:05.354000
2024-05-26 15:14:10.943,8474.0,128.0,4,76.0,False,0,car,0 days 00:00:04.615000,0 days 03:06:05.554000
2024-05-26 15:14:11.183,9086.0,136.0,4,89.0,False,0,car,0 days 00:00:04.855000,0 days 03:06:05.794000
2024-05-26 15:14:11.343,9377.0,143.0,4,100.0,False,0,car,0 days 00:00:05.015000,0 days 03:06:05.954000
2024-05-26 15:14:11.503,9833.0,152.0,4,100.0,False,0,car,0 days 00:00:05.175000,0 days 03:06:06.114000
2024-05-26 15:14:11.703,10137.0,156.0,4,100.0,False,0,car,0 days 00:00:05.375000,0 days 03:06:06.314000
2024-05-26 15:14:11.903,10747.0,170.0,4,100.0,False,0,car,0 days 00:00:05.575000,0 days 03:06:06.514000
2024-05-26 15:14:12.063,11183.0,173.0,4,100.0,False,0,car,0 days 00:00:05.735000,0 days 03:06:06.674000
2024-05-26 15:14:12.263,11630.0,181.0,4,100.0,False,0,car,0 days 00:00:05.935000,0 days 03:06:06.874000
2024-05-26 15:14:12.583,10624.0,192.0,4,100.0,False,0,car,0 days 00:00:06.255000,0 days 03:06:07.194000
2024-05-26 15:14:12.862,10904.0,202.0,5,100.0,False,0,car,0 days 00:00:06.534000,0 days 03:06:07.473000
2024-05-26 15:14:13.222,11656.0,213.0,5,100.0,False,0,car,0 days 00:00:06.894000,0 days 03:06:07.833000
2024-05-26 15:14:13.542,10925.0,221.0,5,100.0,False,0,car,0 days 00:00:07.214000,0 days 03:06:08.153000
2024-05-26 15:14:13.822,10911.0,228.0,6,99.0,False,0,car,0 days 00:00:07.494000,0 days 03:06:08.433000
2024-05-26 15:14:13.982,11001.0,230.0,6,100.0,False,0,car,0 days 00:00:07.654000,0 days 03:06:08.593000
2024-05-26 15:14:14.422,11354.0,240.0,6,100.0,False,0,car,0 days 00:00:08.094000,0 days 03:06:09.033000
2024-05-26 15:14:14.582,11515.0,242.0,6,100.0,False,0,car,0 days 00:00:08.254000,0 days 03:06:09.193000
2024-05-26 15:14:14.782,11609.0,245.0,6,100.0,False,0,car,0 days 00:00:08.454000,0 days 03:06:09.393000
2024-05-26 15:14:15.023,10909.0,247.0,7,100.0,False,0,car,0 days 00:00:08.695000,0 days 03:06:09.634000
2024-05-26 15:14:15.303,10445.0,254.0,7,100.0,False,0,car,0 days 00:00:08.975000,0 days 03:06:09.914000
2024-05-26 15:14:15.503,10552.0,257.0,7,100.0,False,0,car,0 days 00:00:09.175000,0 days 03:06:10.114000
2024-05-26 15:14:15.863,11025.0,260.0,7,100.0,False,0,car,0 days 00:00:09.535000,0 days 03:06:10.474000
