Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-26 14:36:12.334,11215.0,265.0,6,100.0,False,0,car,0 days 00:00:00.144000,0 days 02:28:06.945000
2024-05-26 14:36:12.735,10919.0,269.0,7,100.0,False,0,car,0 days 00:00:00.545000,0 days 02:28:07.346000
2024-05-26 14:36:13.175,10613.0,270.0,7,8.0,False,0,car,0 days 00:00:00.985000,0 days 02:28:07.786000
2024-05-26 14:36:13.375,10351.0,265.0,7,0.0,True,0,car,0 days 00:00:01.185000,0 days 02:28:07.986000
2024-05-26 14:36:13.535,9742.0,255.0,7,0.0,True,0,car,0 days 00:00:01.345000,0 days 02:28:08.146000
2024-05-26 14:36:13.815,9574.0,229.0,7,0.0,True,0,car,0 days 00:00:01.625000,0 days 02:28:08.426000
2024-05-26 14:36:14.055,9932.0,200.0,7,0.0,True,0,car,0 days 00:00:01.865000,0 days 02:28:08.666000
2024-05-26 14:36:14.375,10101.0,173.0,6,0.0,True,0,car,0 days 00:00:02.185000,0 days 02:28:08.986000
2024-05-26 14:36:14.615,9126.0,155.0,5,0.0,True,0,car,0 days 00:00:02.425000,0 days 02:28:09.226000
2024-05-26 14:36:14.775,9513.0,148.0,4,0.0,True,0,car,0 days 00:00:02.585000,0 days 02:28:09.386000
2024-05-26 14:36:15.015,9037.0,122.0,3,0.0,True,0,car,0 days 00:00:02.825000,0 days 02:28:09.626000
2024-05-26 14:36:15.175,8389.0,117.0,3,0.0,True,0,car,0 days 00:00:02.985000,0 days 02:28:09.786000
2024-05-26 14:36:15.655,7973.0,108.0,3,1.0,False,0,car,0 days 00:00:03.465000,0 days 02:28:10.266000
2024-05-26 14:36:15.855,7822.0,106.0,3,10.0,False,0,car,0 days 00:00:03.665000,0 days 02:28:10.466000
2024-05-26 14:36:16.135,8139.0,106.0,3,38.0,False,0,car,0 days 00:00:03.945000,0 days 02:28:10.746000
2024-05-26 14:36:16.415,8316.0,109.0,3,61.0,False,0,car,0 days 00:00:04.225000,0 days 02:28:11.026000
2024-05-26 14:36:16.695,8907.0,117.0,3,67.0,False,0,car,0 days 00:00:04.505000,0 days 02:28:11.306000
2024-05-26 14:36:16.855,9227.0,123.0,3,73.0,False,0,car,0 days 00:00:04.665000,0 days 02:28:11.466000
2024-05-26 14:36:17.215,10304.0,135.0,3,85.0,False,0,car,0 days 00:00:05.025000,0 days 02:28:11.826000
2024-05-26 14:36:17.415,11043.0,135.0,3,93.0,False,0,car,0 days 00:00:05.225000,0 days 02:28:12.026000
2024-05-26 14:36:17.695,10924.0,158.0,3,100.0,False,0,car,0 days 00:00:05.505000,0 days 02:28:12.306000
2024-05-26 14:36:18.134,11158.0,171.0,4,100.0,False,0,car,0 days 00:00:05.944000,0 days 02:28:12.745000
2024-05-26 14:36:18.334,11676.0,183.0,4,100.0,False,0,car,0 days 00:00:06.144000,0 days 02:28:12.945000
2024-05-26 14:36:18.494,11358.0,190.0,4,100.0,False,0,car,0 days 00:00:06.304000,0 days 02:28:13.105000
2024-05-26 14:36:18.734,10686.0,196.0,5,100.0,False,0,car,0 days 00:00:06.544000,0 days 02:28:13.345000
2024-05-26 14:36:19.055,11014.0,209.0,5,100.0,False,0,car,0 days 00:00:06.865000,0 days 02:28:13.666000
2024-05-26 14:36:19.335,11350.0,213.0,5,100.0,False,0,car,0 days 00:00:07.145000,0 days 02:28:13.946000
2024-05-26 14:36:19.535,11619.0,219.0,5,100.0,False,0,car,0 days 00:00:07.345000,0 days 02:28:14.146000
2024-05-26 14:36:19.975,11057.0,227.0,5,100.0,False,0,car,0 days 00:00:07.785000,0 days 02:28:14.586000
2024-05-26 14:36:20.215,10587.0,232.0,6,100.0,False,0,car,0 days 00:00:08.025000,0 days 02:28:14.826000
2024-05-26 14:36:20.375,11001.0,237.0,6,100.0,False,0,car,0 days 00:00:08.185000,0 days 02:28:14.986000
2024-05-26 14:36:20.535,10989.0,239.0,6,100.0,False,0,car,0 days 00:00:08.345000,0 days 02:28:15.146000
2024-05-26 14:36:20.695,11143.0,243.0,6,100.0,False,0,car,0 days 00:00:08.505000,0 days 02:28:15.306000
2024-05-26 14:36:21.015,11320.0,248.0,6,100.0,False,0,car,0 days 00:00:08.825000,0 days 02:28:15.626000
2024-05-26 14:36:21.455,11600.0,255.0,6,100.0,False,0,car,0 days 00:00:09.265000,0 days 02:28:16.066000
2024-05-26 14:36:21.615,11962.0,254.0,6,100.0,False,0,car,0 days 00:00:09.425000,0 days 02:28:16.226000
2024-05-26 14:36:22.055,11940.0,259.0,6,100.0,False,0,car,0 days 00:00:09.865000,0 days 02:28:16.666000
2024-05-26 14:36:22.255,12067.0,262.0,6,100.0,False,0,car,0 days 00:00:10.065000,0 days 02:28:16.866000
2024-05-26 14:36:22.575,11608.0,263.0,6,46.0,True,0,car,0 days 00:00:10.385000,0 days 02:28:17.186000
2024-05-26 14:36:22.735,11696.0,258.0,6,0.0,False,0,car,0 days 00:00:10.545000,0 days 02:28:17.346000
2024-05-26 14:36:22.895,11696.0,254.0,6,0.0,False,0,car,0 days 00:00:10.705000,0 days 02:28:17.506000
2024-05-26 14:36:23.095,11232.0,249.0,6,0.0,True,0,car,0 days 00:00:10.905000,0 days 02:28:17.706000
2024-05-26 14:36:23.375,10650.0,235.0,6,0.0,True,0,car,0 days 00:00:11.185000,0 days 02:28:17.986000
2024-05-26 14:36:23.695,10440.0,223.0,6,0.0,True,0,car,0 days 00:00:11.505000,0 days 02:28:18.306000
2024-05-26 14:36:24.015,10355.0,206.0,5,0.0,True,0,car,0 days 00:00:11.825000,0 days 02:28:18.626000
2024-05-26 14:36:24.215,9905.0,196.0,5,0.0,True,0,car,0 days 00:00:12.025000,0 days 02:28:18.826000
2024-05-26 14:36:24.415,10885.0,187.0,5,0.0,True,0,car,0 days 00:00:12.225000,0 days 02:28:19.026000
2024-05-26 14:36:24.615,10747.0,180.0,4,0.0,True,0,car,0 days 00:00:12.425000,0 days 02:28:19.226000
2024-05-26 14:36:24.774,10594.0,171.0,4,0.0,True,0,car,0 days 00:00:12.584000,0 days 02:28:19.385000
2024-05-26 14:36:25.054,10058.0,164.0,4,0.0,False,0,car,0 days 00:00:12.864000,0 days 02:28:19.665000
