Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-26 14:17:51.011,10671.0,263.0,7,100.0,False,0,car,0 days 00:00:00.253000,0 days 02:09:45.622000
2024-05-26 14:17:51.171,10713.0,266.0,7,100.0,False,0,car,0 days 00:00:00.413000,0 days 02:09:45.782000
2024-05-26 14:17:51.451,10787.0,269.0,7,99.0,False,0,car,0 days 00:00:00.693000,0 days 02:09:46.062000
2024-05-26 14:17:51.771,10559.0,267.0,7,0.0,True,0,car,0 days 00:00:01.013000,0 days 02:09:46.382000
2024-05-26 14:17:52.011,9988.0,254.0,7,0.0,True,0,car,0 days 00:00:01.253000,0 days 02:09:46.622000
2024-05-26 14:17:52.291,10144.0,236.0,7,0.0,True,0,car,0 days 00:00:01.533000,0 days 02:09:46.902000
2024-05-26 14:17:52.611,11190.0,198.0,7,0.0,True,0,car,0 days 00:00:01.853000,0 days 02:09:47.222000
2024-05-26 14:17:52.771,11190.0,189.0,7,0.0,True,0,car,0 days 00:00:02.013000,0 days 02:09:47.382000
2024-05-26 14:17:53.051,11168.0,172.0,4,0.0,True,0,car,0 days 00:00:02.293000,0 days 02:09:47.662000
2024-05-26 14:17:53.411,9866.0,138.0,3,0.0,True,0,car,0 days 00:00:02.653000,0 days 02:09:48.022000
2024-05-26 14:17:53.651,8609.0,129.0,3,0.0,True,0,car,0 days 00:00:02.893000,0 days 02:09:48.262000
2024-05-26 14:17:53.932,8369.0,119.0,3,0.0,True,0,car,0 days 00:00:03.174000,0 days 02:09:48.543000
2024-05-26 14:17:54.212,7988.0,113.0,3,0.0,True,0,car,0 days 00:00:03.454000,0 days 02:09:48.823000
2024-05-26 14:17:54.372,7580.0,112.0,3,0.0,False,0,car,0 days 00:00:03.614000,0 days 02:09:48.983000
2024-05-26 14:17:54.532,7474.0,108.0,3,1.0,False,0,car,0 days 00:00:03.774000,0 days 02:09:49.143000
2024-05-26 14:17:54.772,7853.0,106.0,3,28.0,False,0,car,0 days 00:00:04.014000,0 days 02:09:49.383000
2024-05-26 14:17:55.052,7958.0,107.0,3,59.0,False,0,car,0 days 00:00:04.294000,0 days 02:09:49.663000
2024-05-26 14:17:55.491,8719.0,119.0,3,77.0,False,0,car,0 days 00:00:04.733000,0 days 02:09:50.102000
2024-05-26 14:17:55.691,9675.0,126.0,3,86.0,False,0,car,0 days 00:00:04.933000,0 days 02:09:50.302000
2024-05-26 14:17:56.011,10264.0,139.0,3,93.0,False,0,car,0 days 00:00:05.253000,0 days 02:09:50.622000
2024-05-26 14:17:56.291,11270.0,153.0,3,99.0,False,0,car,0 days 00:00:05.533000,0 days 02:09:50.902000
