Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-26 14:19:54.132,10701.0,270.0,7,100.0,False,12,car,0 days 00:00:00.185000,0 days 02:11:48.743000
2024-05-26 14:19:54.372,10445.0,272.0,7,44.0,False,12,car,0 days 00:00:00.425000,0 days 02:11:48.983000
2024-05-26 14:19:54.772,10267.0,263.0,7,0.0,False,0,car,0 days 00:00:00.825000,0 days 02:11:49.383000
2024-05-26 14:19:55.172,9556.0,251.0,7,0.0,True,0,car,0 days 00:00:01.225000,0 days 02:11:49.783000
2024-05-26 14:19:55.532,9452.0,213.0,7,0.0,True,0,car,0 days 00:00:01.585000,0 days 02:11:50.143000
2024-05-26 14:19:55.812,9167.0,194.0,7,0.0,True,0,car,0 days 00:00:01.865000,0 days 02:11:50.423000
2024-05-26 14:19:56.012,8879.0,184.0,5,0.0,True,0,car,0 days 00:00:02.065000,0 days 02:11:50.623000
2024-05-26 14:19:56.292,8367.0,149.0,4,0.0,True,0,car,0 days 00:00:02.345000,0 days 02:11:50.903000
2024-05-26 14:19:56.571,8894.0,131.0,4,0.0,True,0,car,0 days 00:00:02.624000,0 days 02:11:51.182000
2024-05-26 14:19:56.771,8377.0,121.0,3,0.0,True,0,car,0 days 00:00:02.824000,0 days 02:11:51.382000
2024-05-26 14:19:57.211,7556.0,110.0,3,0.0,True,0,car,0 days 00:00:03.264000,0 days 02:11:51.822000
2024-05-26 14:19:57.371,7571.0,105.0,3,0.0,False,0,car,0 days 00:00:03.424000,0 days 02:11:51.982000
2024-05-26 14:19:57.771,7286.0,100.0,3,0.0,False,0,car,0 days 00:00:03.824000,0 days 02:11:52.382000
2024-05-26 14:19:58.011,7085.0,99.0,3,18.0,False,0,car,0 days 00:00:04.064000,0 days 02:11:52.622000
2024-05-26 14:19:58.171,7440.0,98.0,3,35.0,False,0,car,0 days 00:00:04.224000,0 days 02:11:52.782000
2024-05-26 14:19:58.371,7694.0,98.0,3,54.0,False,0,car,0 days 00:00:04.424000,0 days 02:11:52.982000
2024-05-26 14:19:58.691,8030.0,105.0,3,62.0,False,0,car,0 days 00:00:04.744000,0 days 02:11:53.302000
2024-05-26 14:19:58.892,8432.0,110.0,3,71.0,False,0,car,0 days 00:00:04.945000,0 days 02:11:53.503000
2024-05-26 14:19:59.092,8951.0,116.0,3,74.0,False,0,car,0 days 00:00:05.145000,0 days 02:11:53.703000
2024-05-26 14:19:59.252,9171.0,123.0,3,76.0,False,0,car,0 days 00:00:05.305000,0 days 02:11:53.863000
2024-05-26 14:19:59.412,9620.0,126.0,3,80.0,False,0,car,0 days 00:00:05.465000,0 days 02:11:54.023000
2024-05-26 14:19:59.572,10102.0,134.0,3,82.0,False,0,car,0 days 00:00:05.625000,0 days 02:11:54.183000
2024-05-26 14:19:59.772,10618.0,137.0,3,83.0,False,0,car,0 days 00:00:05.825000,0 days 02:11:54.383000
2024-05-26 14:20:00.012,11216.0,144.0,3,86.0,False,0,car,0 days 00:00:06.065000,0 days 02:11:54.623000
2024-05-26 14:20:00.292,10207.0,157.0,3,87.0,False,0,car,0 days 00:00:06.345000,0 days 02:11:54.903000
2024-05-26 14:20:00.692,10514.0,168.0,4,92.0,False,0,car,0 days 00:00:06.745000,0 days 02:11:55.303000
2024-05-26 14:20:01.092,11366.0,185.0,4,100.0,False,0,car,0 days 00:00:07.145000,0 days 02:11:55.703000
2024-05-26 14:20:01.332,12242.0,195.0,4,100.0,False,0,car,0 days 00:00:07.385000,0 days 02:11:55.943000
2024-05-26 14:20:01.692,10693.0,203.0,5,100.0,False,0,car,0 days 00:00:07.745000,0 days 02:11:56.303000
2024-05-26 14:20:02.052,11133.0,214.0,5,100.0,False,0,car,0 days 00:00:08.105000,0 days 02:11:56.663000
2024-05-26 14:20:02.332,11322.0,221.0,5,100.0,False,0,car,0 days 00:00:08.385000,0 days 02:11:56.943000
2024-05-26 14:20:02.492,11590.0,221.0,5,100.0,False,0,car,0 days 00:00:08.545000,0 days 02:11:57.103000
2024-05-26 14:20:02.772,10464.0,230.0,5,100.0,False,0,car,0 days 00:00:08.825000,0 days 02:11:57.383000
2024-05-26 14:20:03.171,10817.0,238.0,6,100.0,False,0,car,0 days 00:00:09.224000,0 days 02:11:57.782000
2024-05-26 14:20:03.571,11082.0,244.0,6,100.0,False,0,car,0 days 00:00:09.624000,0 days 02:11:58.182000
2024-05-26 14:20:03.891,11313.0,249.0,6,100.0,False,0,car,0 days 00:00:09.944000,0 days 02:11:58.502000
2024-05-26 14:20:04.171,11432.0,253.0,6,100.0,False,0,car,0 days 00:00:10.224000,0 days 02:11:58.782000
2024-05-26 14:20:04.371,11530.0,256.0,6,100.0,False,0,car,0 days 00:00:10.424000,0 days 02:11:58.982000
2024-05-26 14:20:04.651,11686.0,260.0,6,100.0,False,0,car,0 days 00:00:10.704000,0 days 02:11:59.262000
2024-05-26 14:20:04.891,11472.0,261.0,6,2.0,False,0,car,0 days 00:00:10.944000,0 days 02:11:59.502000
2024-05-26 14:20:05.131,11065.0,257.0,6,0.0,False,0,car,0 days 00:00:11.184000,0 days 02:11:59.742000
2024-05-26 14:20:05.411,11053.0,247.0,6,0.0,True,0,car,0 days 00:00:11.464000,0 days 02:12:00.022000
2024-05-26 14:20:05.572,10180.0,237.0,6,0.0,True,0,car,0 days 00:00:11.625000,0 days 02:12:00.183000
2024-05-26 14:20:05.772,9283.0,226.0,6,0.0,True,0,car,0 days 00:00:11.825000,0 days 02:12:00.383000
2024-05-26 14:20:06.012,9703.0,217.0,6,0.0,True,0,car,0 days 00:00:12.065000,0 days 02:12:00.623000
2024-05-26 14:20:06.172,9809.0,202.0,6,0.0,True,0,car,0 days 00:00:12.225000,0 days 02:12:00.783000
2024-05-26 14:20:06.332,9648.0,194.0,5,0.0,True,0,car,0 days 00:00:12.385000,0 days 02:12:00.943000
2024-05-26 14:20:06.652,10293.0,186.0,5,0.0,True,0,car,0 days 00:00:12.705000,0 days 02:12:01.263000
2024-05-26 14:20:06.852,10153.0,174.0,4,0.0,True,0,car,0 days 00:00:12.905000,0 days 02:12:01.463000
2024-05-26 14:20:07.252,9561.0,163.0,4,0.0,True,0,car,0 days 00:00:13.305000,0 days 02:12:01.863000
2024-05-26 14:20:07.452,9299.0,159.0,4,0.0,False,0,car,0 days 00:00:13.505000,0 days 02:12:02.063000
2024-05-26 14:20:07.732,9042.0,155.0,4,0.0,False,0,car,0 days 00:00:13.785000,0 days 02:12:02.343000
2024-05-26 14:20:08.092,8867.0,150.0,4,0.0,False,0,car,0 days 00:00:14.145000,0 days 02:12:02.703000
2024-05-26 14:20:08.372,8546.0,146.0,4,0.0,False,0,car,0 days 00:00:14.425000,0 days 02:12:02.983000
2024-05-26 14:20:08.612,8369.0,143.0,4,0.0,False,0,car,0 days 00:00:14.665000,0 days 02:12:03.223000
2024-05-26 14:20:08.852,8151.0,139.0,4,0.0,False,0,car,0 days 00:00:14.905000,0 days 02:12:03.463000
2024-05-26 14:20:09.052,8168.0,137.0,4,14.0,False,0,car,0 days 00:00:15.105000,0 days 02:12:03.663000
2024-05-26 14:20:09.332,8068.0,135.0,4,23.0,False,0,car,0 days 00:00:15.385000,0 days 02:12:03.943000
2024-05-26 14:20:09.692,8112.0,134.0,4,37.0,False,0,car,0 days 00:00:15.745000,0 days 02:12:04.303000
2024-05-26 14:20:10.011,7974.0,134.0,4,51.0,False,0,car,0 days 00:00:16.064000,0 days 02:12:04.622000
2024-05-26 14:20:10.171,8320.0,135.0,4,51.0,False,0,car,0 days 00:00:16.224000,0 days 02:12:04.782000
2024-05-26 14:20:10.491,8057.0,138.0,4,0.0,True,0,car,0 days 00:00:16.544000,0 days 02:12:05.102000
2024-05-26 14:20:10.731,9127.0,133.0,4,0.0,True,0,car,0 days 00:00:16.784000,0 days 02:12:05.342000
2024-05-26 14:20:10.971,9089.0,133.0,3,0.0,True,0,car,0 days 00:00:17.024000,0 days 02:12:05.582000
2024-05-26 14:20:11.171,8611.0,123.0,3,0.0,True,0,car,0 days 00:00:17.224000,0 days 02:12:05.782000
2024-05-26 14:20:11.451,8461.0,118.0,3,2.0,False,0,car,0 days 00:00:17.504000,0 days 02:12:06.062000
2024-05-26 14:20:11.731,8277.0,118.0,3,26.0,False,0,car,0 days 00:00:17.784000,0 days 02:12:06.342000
2024-05-26 14:20:11.931,8436.0,114.0,3,46.0,False,0,car,0 days 00:00:17.984000,0 days 02:12:06.542000
2024-05-26 14:20:12.172,8750.0,115.0,3,55.0,False,0,car,0 days 00:00:18.225000,0 days 02:12:06.783000
2024-05-26 14:20:12.532,9433.0,124.0,3,67.0,False,0,car,0 days 00:00:18.585000,0 days 02:12:07.143000
2024-05-26 14:20:12.932,10114.0,136.0,3,75.0,False,0,car,0 days 00:00:18.985000,0 days 02:12:07.543000
2024-05-26 14:20:13.212,10677.0,142.0,3,80.0,False,0,car,0 days 00:00:19.265000,0 days 02:12:07.823000
