Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-26 15:12:07.902,11507.0,279.0,7,100.0,False,12,car,0 days 00:00:00.181000,0 days 03:04:02.513000
2024-05-26 15:12:08.222,10188.0,283.0,7,99.0,False,12,car,0 days 00:00:00.501000,0 days 03:04:02.833000
2024-05-26 15:12:08.542,9793.0,283.0,8,16.0,True,0,car,0 days 00:00:00.821000,0 days 03:04:03.153000
2024-05-26 15:12:08.862,8798.0,249.0,8,0.0,True,0,car,0 days 00:00:01.141000,0 days 03:04:03.473000
2024-05-26 15:12:09.142,9502.0,237.0,8,0.0,True,0,car,0 days 00:00:01.421000,0 days 03:04:03.753000
2024-05-26 15:12:09.462,9554.0,207.0,6,0.0,True,0,car,0 days 00:00:01.741000,0 days 03:04:04.073000
2024-05-26 15:12:09.702,9448.0,173.0,6,0.0,True,0,car,0 days 00:00:01.981000,0 days 03:04:04.313000
2024-05-26 15:12:09.942,9428.0,159.0,5,0.0,True,0,car,0 days 00:00:02.221000,0 days 03:04:04.553000
2024-05-26 15:12:10.183,9715.0,138.0,4,0.0,True,0,car,0 days 00:00:02.462000,0 days 03:04:04.794000
2024-05-26 15:12:10.583,8235.0,117.0,3,0.0,True,0,car,0 days 00:00:02.862000,0 days 03:04:05.194000
2024-05-26 15:12:10.943,7678.0,110.0,3,0.0,False,0,car,0 days 00:00:03.222000,0 days 03:04:05.554000
2024-05-26 15:12:11.263,7434.0,105.0,3,0.0,False,0,car,0 days 00:00:03.542000,0 days 03:04:05.874000
2024-05-26 15:12:11.543,7404.0,103.0,3,2.0,False,0,car,0 days 00:00:03.822000,0 days 03:04:06.154000
2024-05-26 15:12:11.822,7641.0,98.0,3,34.0,False,0,car,0 days 00:00:04.101000,0 days 03:04:06.433000
2024-05-26 15:12:12.142,7988.0,104.0,3,48.0,False,0,car,0 days 00:00:04.421000,0 days 03:04:06.753000
2024-05-26 15:12:12.382,8536.0,112.0,3,71.0,False,0,car,0 days 00:00:04.661000,0 days 03:04:06.993000
2024-05-26 15:12:12.582,8884.0,119.0,3,77.0,False,0,car,0 days 00:00:04.861000,0 days 03:04:07.193000
2024-05-26 15:12:12.862,10191.0,134.0,3,100.0,False,0,car,0 days 00:00:05.141000,0 days 03:04:07.473000
2024-05-26 15:12:13.222,11133.0,150.0,3,100.0,False,0,car,0 days 00:00:05.501000,0 days 03:04:07.833000
2024-05-26 15:12:13.582,10939.0,169.0,4,100.0,False,0,car,0 days 00:00:05.861000,0 days 03:04:08.193000
2024-05-26 15:12:13.782,11236.0,177.0,4,100.0,False,0,car,0 days 00:00:06.061000,0 days 03:04:08.393000
2024-05-26 15:12:13.942,11127.0,181.0,4,100.0,False,0,car,0 days 00:00:06.221000,0 days 03:04:08.553000
2024-05-26 15:12:14.182,10489.0,192.0,5,100.0,False,0,car,0 days 00:00:06.461000,0 days 03:04:08.793000
2024-05-26 15:12:14.342,10489.0,196.0,5,100.0,False,0,car,0 days 00:00:06.621000,0 days 03:04:08.953000
2024-05-26 15:12:14.662,11171.0,208.0,5,99.0,False,0,car,0 days 00:00:06.941000,0 days 03:04:09.273000
2024-05-26 15:12:14.862,11731.0,214.0,5,100.0,False,0,car,0 days 00:00:07.141000,0 days 03:04:09.473000
2024-05-26 15:12:15.062,11200.0,219.0,5,99.0,False,0,car,0 days 00:00:07.341000,0 days 03:04:09.673000
2024-05-26 15:12:15.302,10471.0,224.0,6,99.0,False,0,car,0 days 00:00:07.581000,0 days 03:04:09.913000
2024-05-26 15:12:15.502,10611.0,229.0,6,99.0,False,0,car,0 days 00:00:07.781000,0 days 03:04:10.113000
2024-05-26 15:12:15.662,11095.0,233.0,6,99.0,False,0,car,0 days 00:00:07.941000,0 days 03:04:10.273000
2024-05-26 15:12:16.062,11363.0,241.0,6,100.0,False,0,car,0 days 00:00:08.341000,0 days 03:04:10.673000
2024-05-26 15:12:16.222,11603.0,243.0,6,99.0,False,0,car,0 days 00:00:08.501000,0 days 03:04:10.833000
2024-05-26 15:12:16.422,11398.0,246.0,6,99.0,False,0,car,0 days 00:00:08.701000,0 days 03:04:11.033000
2024-05-26 15:12:17.303,10716.0,259.0,7,99.0,False,0,car,0 days 00:00:09.582000,0 days 03:04:11.914000
2024-05-26 15:12:17.583,10902.0,263.0,7,100.0,False,0,car,0 days 00:00:09.862000,0 days 03:04:12.194000
2024-05-26 15:12:17.903,10942.0,264.0,7,96.0,False,0,car,0 days 00:00:10.182000,0 days 03:04:12.514000
2024-05-26 15:12:18.223,10272.0,260.0,7,0.0,False,0,car,0 days 00:00:10.502000,0 days 03:04:12.834000
2024-05-26 15:12:18.582,10419.0,251.0,7,0.0,False,0,car,0 days 00:00:10.861000,0 days 03:04:13.193000
2024-05-26 15:12:18.782,9947.0,243.0,7,0.0,False,0,car,0 days 00:00:11.061000,0 days 03:04:13.393000
2024-05-26 15:12:18.982,9315.0,237.0,7,0.0,True,0,car,0 days 00:00:11.261000,0 days 03:04:13.593000
2024-05-26 15:12:19.342,8496.0,221.0,7,0.0,True,0,car,0 days 00:00:11.621000,0 days 03:04:13.953000
2024-05-26 15:12:19.582,9196.0,206.0,7,0.0,True,0,car,0 days 00:00:11.861000,0 days 03:04:14.193000
2024-05-26 15:12:19.742,9589.0,203.0,6,0.0,True,0,car,0 days 00:00:12.021000,0 days 03:04:14.353000
2024-05-26 15:12:19.982,9990.0,188.0,5,0.0,True,0,car,0 days 00:00:12.261000,0 days 03:04:14.593000
2024-05-26 15:12:20.262,10130.0,176.0,5,0.0,True,0,car,0 days 00:00:12.541000,0 days 03:04:14.873000
2024-05-26 15:12:20.662,9974.0,164.0,4,0.0,True,0,car,0 days 00:00:12.941000,0 days 03:04:15.273000
2024-05-26 15:12:20.982,9637.0,157.0,4,0.0,False,0,car,0 days 00:00:13.261000,0 days 03:04:15.593000
2024-05-26 15:12:21.262,9312.0,153.0,4,0.0,False,0,car,0 days 00:00:13.541000,0 days 03:04:15.873000
