driver,driver_number,team,lap_number,lap_time,sector1_time,sector2_time,sector3_time,speed_i1,speed_i2,speed_fl,speed_st,compound,tyre_life,fresh_tyre,position,pit_in_time,pit_out_time,track_status,is_personal_best,deleted,deleted_reason,lap_start_time,lap_end_time,air_temp,track_temp,humidity,pressure,wind_speed,wind_direction,rainfall,gp,year,session
ALB,23,Williams,1.0,2494.817,,55.498,,167.0,60.0,,275.0,MEDIUM,1.0,True,9.0,3420.668,,1254,False,False,,3305.68,5800.77,21.6,48.4,66.0,1018.9,0.9,0,False,Monaco,2024,Race
ALB,23,Williams,2.0,142.255,26.143,40.862,75.25,173.0,181.0,118.0,260.0,HARD,1.0,True,9.0,,5801.722,41,False,False,,5800.77,5943.025,21.5,48.1,65.0,1018.9,0.8,9,False,Monaco,2024,Race
ALB,23,Williams,3.0,87.834,25.399,39.935,22.5,158.0,176.0,255.0,277.0,HARD,2.0,True,9.0,,,1,True,False,,5943.025,6030.859,21.6,48.6,66.0,1018.7,1.4,356,False,Monaco,2024,Race
ALB,23,Williams,4.0,83.286,21.826,39.21,22.25,181.0,166.0,263.0,278.0,HARD,3.0,True,9.0,,,1,True,False,,6030.859,6114.145,21.7,49.2,63.0,1018.9,0.6,0,False,Monaco,2024,Race
ALB,23,Williams,5.0,83.369,22.133,39.122,22.114,167.0,167.0,265.0,281.0,HARD,4.0,True,9.0,,,1,False,False,,6114.145,6197.514,21.7,48.8,63.0,1018.8,0.6,57,False,Monaco,2024,Race
ALB,23,Williams,6.0,83.416,22.168,39.171,22.077,172.0,175.0,261.0,274.0,HARD,5.0,True,9.0,,,1,False,False,,6197.514,6280.93,21.6,48.2,64.0,1018.9,2.0,353,False,Monaco,2024,Race
ALB,23,Williams,7.0,81.913,21.895,38.406,21.612,173.0,173.0,260.0,278.0,HARD,6.0,True,9.0,,,1,True,False,,6280.93,6362.843,21.8,48.7,64.0,1018.9,0.4,6,False,Monaco,2024,Race
ALB,23,Williams,8.0,81.536,21.711,38.18,21.645,178.0,174.0,250.0,279.0,HARD,7.0,True,9.0,,,1,True,False,,6362.843,6444.379,21.8,48.0,64.0,1018.9,1.4,104,False,Monaco,2024,Race
ALB,23,Williams,9.0,82.004,21.83,38.449,21.725,176.0,177.0,253.0,276.0,HARD,8.0,True,9.0,,,1,False,False,,6444.379,6526.383,21.9,47.9,63.0,1018.9,0.9,253,False,Monaco,2024,Race
ALB,23,Williams,10.0,81.562,21.79,38.274,21.498,181.0,175.0,264.0,276.0,HARD,9.0,True,9.0,,,1,False,False,,6526.383,6607.945,22.1,47.4,65.0,1018.8,0.7,289,False,Monaco,2024,Race
